News Title,News Link,Publish Date,Description,Report Type,Accident Date,Time,Killed,Injured,Location,Road_Characteristic,Pedestrian_Involved,Vehicles Involved
Two students drown in waterfall in Ctg’s Mirsarai,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/two-students-drown-waterfall-ctgs-mirsarai-3719721,4/10/2024,"Two tourists drowned in Rupashi Jharna (waterfall) in Kamaldah area of Chattogram's Mirsarai this morning.

The deceased are Mushfiqur Rahman, 21, a student of East West University in Dhaka, and Mahbub Rahman Mustakin, 21, a student of Narayanganj Government College, reports our Chattogram staff correspondent citing police and firemen.

A group of 13 students came to Mirsarai from Dhaka to visit the Rupashi Jharna this morning.

When they were roaming around the waterfall around 9:00am, Mustakim slipped and fell in the water. When Mushfiqur tried to rescue Mustakim, he too drowned to death, said Imam Hossain Patwari, senior station officer of Mirsarai Fire Service.

On information, divers from the Fire Service and Civil Defence went to the spot and recovered the bodies around 1:00pm, he said.

Deputy Inspector of Nizampur police outpost Md Momin Hossain said the bodies of the two tourists were kept at the police station.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Shukrabad fire: Wife's death follows husband's; death toll now two,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/shukrabad-fire-wifes-death-follows-husbands-death-toll-now-two-3718846,3/10/2024,"Their three-year-old is in critical condition

A 24-year-old woman died early Wednesday of burn injuries suffered in a fire at a house in Dhanmondi's Shukrabad on Saturday morning.

Nipa Akter died at the Sheikh Hasina National Institute of Burn and Plastic Surgery.

The death toll from the devastating fire stands at two. Nipa's husband Toton, 35, died on Tuesday.

Tariqul Islam, a resident surgeon at the institute, said Nipa suffered burns on 50 percent of her body. Their three-and-a-half-year-old son, Bayezid, who has a physical disability, remains hospitalised with 45 percent burns and is in critical condition.

The fire, which broke out at 3:00am on Saturday due to a suspected gas leak, severely injured the family members.

The family was living in a house adjacent to Bazar Masjid on Shukrabad 27 Road.

Nipa's mother, Rehana Begum, said the family is from Kacharikandi village in Narsingdi district. The couple had moved to Dhanmondi. They are parents to three children; however, their two older children live with grandparents in the village.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Man falls to his death as hospital lift malfunctions,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/man-falls-his-death-hospital-lift-malfunctions-3718006,3/10/2024,"A man died after falling into a lift shaft in Shaheed Tajuddin Ahmad Medical College Hospital on Tuesday.

The dead was identified as Zahid, 45, an expatriate worker hailing from Cumilla. He was living with his wife and in-laws in Gazipur's Targach area.

Quoting the hospital's Director Aminul Islam, Civil Surgeon Mahmuda Akhtar told The Daily Star the victim's pregnant wife was admitted to the hospital on Saturday for the delivery of their daughter.

On Tuesday night, Zahid called the lift to the 11th floor of the building, where his wife's room was, to go downstairs. The doors to the lift opened before the lift reached the floor and Zahid fell into the shaft, resulting in his death, she said.

She added that action would be taken after an investigation. ""The hospital authorities have already initiated a probe into this.""

Speaking to journalists at the hospital, the victim's sister-in-law said, ""My sister and niece's futures are now uncertain. How will they survive? We want justice and trial of those responsible for my brother-in-law's death.""

Speaking to this newspaper, Sohel Mia, duty officer of Joydebpur Fire Service, said, ""We went to the spot after the hospital authorities informed us about the incident. After reaching, we saw the victim was already taken out of the shaft.""

Inspector Rahedul Islam, investigation officer of Gazipur Sadar Police Station, said the hospital authorities have kept the victim's body in the morgue.

On May 12, a patient of the same hospital --Mumtaz Begum, 53 -- died after being stuck in a lift for 45 minutes.

The same day, the hospital authorities in a letter to the Directorate General of Health Services blamed the people inside the lift, saying they banged on the door, causing the ""door safety"" system to fail.

On May 3, another patient at the hospital -- Zillur Rahman, 70 -- died after falling through an open gap next to the lift on the 12th floor.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Run over by bus, man dies in Gazipur",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/run-over-bus-man-dies-gazipur-3718541,3/10/2024,"A man died after being run over by a bus on the Dhaka-Mymensingh highway in Gazipur's Bhogra area last night.

After the accident, a mob set fire to two buses, including one of Balaka Paribahan which was involved in the accident.

The identity of the deceased could not be confirmed till the filing of this report around 12:30am today.

Quoting witnesses, Basan Police Station OC Jahangir Alam said the accident occurred near the Columbia Garment around 9:00pm yesterday when the man was crossing the road.

He died of his injuries on the way to a hospital, the OC added.

Soon after the accident, a mob of over 100 people set fire to the buses, said Abu Sayeed, a firefighter from Bhogra fire service.

He said that the driver of the bus which ran over the man managed to flee.

Sayeed said they could not fight the blaze as the mob obstructed them from getting to the scene.",Specific,2/10/2024, 9:00pm,1,0, Dhaka-Mymensingh highway in Gazipur's Bhogra area, highway, yes,Bus
Worker killed after being hit by bus in Gazipur,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/worker-killed-after-being-hit-bus-gazipur-3718316,2/10/2024,"A worker was killed after a bus ran him over on Dhaka-Mymensingh highway in Gazipur's Bhogra area today.

The deceased could not be identified immediately, reports our local correspondent quoting Jahangir Alam, officer-in-charge of Basan Police Station.

The incident occurred around 9:00pm near Columbia Garment. Eyewitnesses and locals said that the man was crossing the road after finishing his shift in a nearby factory when he was hit by a bus travelling from Dhaka.

He sustained severe injuries, particularly to his head, and succumbed to his injuries while being transported to the hospital, the OC said.

In response to the incident, an angry mob of over 100 people set fire to two buses, according to Gazipur Traffic Police inspector Monir Hossain.

Authorities are currently addressing the situation. Bhogra Fire Service Duty Officer Arif Hussain said that that firefighters are on their way to extinguish the blaze.",Specific,2/10/2024, 9:00pm,1,0," Dhaka-Mymensingh highway, Bhogra area, Gazipur", Highway, Yes,Bus
Man dies after being hit by train in Joypurhat,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/man-dies-after-being-hit-train-joypurhat-3718011,2/10/2024,"An unidentified man died after being hit by a train in Joypurhat's Sadar upazila this morning, according to the Santahar Government Railway Police (GRP).

Shahed Al Mamun, officer-in-charge of Joypurhat Sadar Police Station, said the incident occurred at Sahapur village when the man, approximately 40 years old, was crossing the railway tracks. He was hit by the Panchagarh-bound intercity train, Panchagarh Express, and died on the spot.

The body has been sent to Joypurhat General Hospital morgue, and Joypurhat police have informed Santahar GRP police about the incident.

This comes just days after another train-related fatality in the district. On September 28, Sukanta Barman, 28, from Ratanpur village in Panchbibi upazila, died after being hit by the Borendra Express intercity train.

According to Habib Rahman, officer-in-charge of Panchbibi Police Station, Sukanta was walking on the railway tracks near Champatoli village, close to Bagjana Railway Station, when the accident occurred. Despite repeated warning sirens, he failed to move away from the tracks and was struck by the train at around 10:00am.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Two fishers killed by lightning,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/two-fishers-killed-lightning-3717171,2/10/2024,"Two fishermen were killed by lightning in Sadar upazila of Brahmanbaria yesterday morning.

The victims -- Dishu Das, 59, and Rabindra Chandra Das, 37, from Kanchanpur village in the upazila -- were catching fish in the river Titas when the incident took place, said Machihata Union Parishad Chairman Alaminul Haq Pavel.

The UP chairman said it was raining during the incident. Both of them died on the spot after being struck by lightning.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Six of a family perish in fire,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/six-family-perish-fire-3716886,2/10/2024,"Four children among them

Six members of a family, including four children, were killed in a fire at a house of Ashrayan project in Sunamganj's Dharmapasha upazila early yesterday.

The victims are Emarul Miah, 50, his wife Poli Akther, 35, and children Polash, 12, Farhad, 9, Fatema, 7, and Omor Faruk, 3, of Shimerkhal village.

Locals said they could see the blaze around 12:30am.

Md Gias Uddin, upazila nirbahi officer of Dharmapasha, said, ""The village is in a remote area that have no proper road communications. We were informed of the incident at night but went to the spot in the morning.""

""Locals informed us that a neighbour first saw the house was on fire. They broke open the door that was locked from inside, but they could not enter the house amid the raging blaze. They doused the flames with water from a nearby river and found all six members of the family were burnt to death.""

The UNO said they asked the forensic unit of Criminal Investigation Department to collect evidence from the scene. ""We are not sure what caused the fire, but we are investigating the incident.""

Emarul had no family issues or enemy, said his brother-in-law Monir Miah of the same village.

According to the upazila administration, the Ashrayan project in Shimerkhal village having 34 houses was completed in 2021.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Miscreants set fire to Lalon Anand Dham,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/miscreants-set-fire-lalon-anand-dham-3716171,1/10/2024,"Miscreants set fire to and vandalised Lalon Anand Dham in Motra village, Bhanga upazila of Faridpur yesterday afternoon.

The attack occurred around 3:00pm, said Md Mokchedur Rahman, officer-in-charge of Bhanga Police Station.

Established in 2013 by Syed Zahid Hasan, an assistant professor of Bangla at Sadarpur Government College, the cultural centre has faced repeated threats.

According to Syed, unidentified attackers had previously damaged CCTV cameras. The compound is enclosed, but the attackers climbed a tree to gain entry. They gathered books and musical instruments from various rooms and set them alight.

Radical groups have long targeted the centre, and on September 12, threats were posted on Facebook, he said.

A case has been filed, the OC said.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Three killed in oil tanker explosion at Ctg port,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/three-killed-oil-tanker-explosion-ctg-port-3716091,1/10/2024,"Three people were killed in an explosion on a fuel-laden lighterage vessel at the Chattogram port yesterday morning.

The victims were identified as deck cadet Shourabh Kumar Saha, foreman Nurul Islam, and casual staff Md Harun.

The ""Banglar Jyoti"", owned by the national flag carrier Bangladesh Shipping Corporation (BSC), was unloading crude oil when the explosion took place at the forecastle, the forward part, of the ship at around 11:00am.

The explosion, which later resulted in a fire, severely damaged the ship's forecastle.

The vessel berthed at Dolphin Jetty No. 7 at 10:00am after bringing 11,700 tonnes of crude oil from a larger oil tanker, MT Omera Legacy, anchored at the outer anchorage.

Chittagong Port Authority (CPA) Secretary Md Omar Faruk said the crude oil was imported for Eastern Refinery Limited.

""Following the explosion, fireboats from the Bangladesh Navy, Chittagong Port Authority, and Coast Guard and several units from Fire Service and Civil Defence rushed to the spot and managed to bring the fire under control by 12:30pm.""

""As a precautionary measure, all nearby ships were relocated to safe zones, and oil installations were instructed to remain on high alert.""

BSC Managing Director Commodore Mahmudul Malek, at a press conference in the afternoon, said the deck cadet and the two staffers were carrying out routine maintenance at the ship's forecastle when crude oil was being unloaded.

""The maintenance did not include any fire-related work, which could have triggered the explosion.""

Malek said an investigation into the incident would reveal the cause of the explosion and the extent of damage.

The ship was bought by the Bangladesh Shipping Corporation in 1987, when it had a lifespan of 25 years.

As such, the ship's lifecycle had ended in 2012.

Regarding this, Malek said the ship had been operated through intensive regular maintenance since it was contributing economically.

He went on to say that the explosion was not the result of a mechanical failure because it did not come from the engine or generator.

Meanwhile, the BSC formed two probe bodies, one for investigating the incident and the other to properly compensate the victims' families.

The Bangladesh Petroleum Corporation (BPC) also formed a seven-member probe committee led by Managing Director Sharif Hasnat of the Eastern Refinery Limited to investigate the explosion.

BPC Director Anupam Barua said the committee was directed to submit a report within a day.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"2 killed, 3 hurt in road accident",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/2-killed-3-hurt-road-accident-3716421,30-09-2024,"Two persons were killed and three were injured today as driver of a covered van lost control over steering and hit at least eight rickshaw vans parked on the roadside in Dinajpur's Ghoraghat upazila.

The deceased are Md Abdul Gaffar, 68, of Kumarpur (Chatwara) village under Rangpur's Pirganj upazila, and Anwar Hossain, 50, of Kochgram village under Dinajpur's Birampur upazila. They were both rickshaw van pullers, said police.

The incident took place at Raniganj Bazar area on Dinajpur-Gobindaganj regional highway. Gaffar died on the spot while four others sustained injuries.

Informed, fire service personnel took them to Ghoraghat Upazila Health Complex, where Anwar later succumbed to his injuries,"" said Md Asaduzzaman Asad, officer-in-charge of Ghoraghat Police Station.

Traffic movement on the highway remained halted for an hour after the incident.

Police seized the covered van and detained its driver Md Siddique, 40.",Specific,30-09-2024, Not specified,2,3," Raniganj Bazar area, Dinajpur's Ghoraghat upazila", Regional highway, Yes,Covered van-Rickshaw vans
Four injured in Gazipur gas explosion,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/four-injured-gazipur-gas-explosion-3716121,30-09-2024,"At least four people were sent to hospital after being injured in a gas explosion on Gazipur's Sreepur upazila this afternoon.

The incident took place around 1:00pm in the upazila's Rajabari union. The injured are Helena Akhtar (45), Halima Akhtar (40), Rita Akter (20), and Miftah Uddin Ahmed (35), said Zainal Abedin, officer-in-charge (OC) of Sreepur Police Station, told our local correspondent.

""The explosion occurred while a truck was being repaired by the roadside. We are yet to confirm if the source of the explosion was the truck's cylinder or any others kept nearby. The injured are being treated at the Shaheed Tajuddin Ahmed Medical College Hospital,"" the OC said.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
