News Title,News Link,Publish Date,Description,Report Type,Gemini_responses
Two students drown in waterfall in Ctg’s Mirsarai,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/two-students-drown-waterfall-ctgs-mirsarai-3719721,4/10/2024,"Two tourists drowned in Rupashi Jharna (waterfall) in Kamaldah area of Chattogram's Mirsarai this morning.

The deceased are Mushfiqur Rahman, 21, a student of East West University in Dhaka, and Mahbub Rahman Mustakin, 21, a student of Narayanganj Government College, reports our Chattogram staff correspondent citing police and firemen.

A group of 13 students came to Mirsarai from Dhaka to visit the Rupashi Jharna this morning.

When they were roaming around the waterfall around 9:00am, Mustakim slipped and fell in the water. When Mushfiqur tried to rescue Mustakim, he too drowned to death, said Imam Hossain Patwari, senior station officer of Mirsarai Fire Service.

On information, divers from the Fire Service and Civil Defence went to the spot and recovered the bodies around 1:00pm, he said.

Deputy Inspector of Nizampur police outpost Md Momin Hossain said the bodies of the two tourists were kept at the police station.",General,General
Shukrabad fire: Wife's death follows husband's; death toll now two,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/shukrabad-fire-wifes-death-follows-husbands-death-toll-now-two-3718846,3/10/2024,"Their three-year-old is in critical condition

A 24-year-old woman died early Wednesday of burn injuries suffered in a fire at a house in Dhanmondi's Shukrabad on Saturday morning.

Nipa Akter died at the Sheikh Hasina National Institute of Burn and Plastic Surgery.

The death toll from the devastating fire stands at two. Nipa's husband Toton, 35, died on Tuesday.

Tariqul Islam, a resident surgeon at the institute, said Nipa suffered burns on 50 percent of her body. Their three-and-a-half-year-old son, Bayezid, who has a physical disability, remains hospitalised with 45 percent burns and is in critical condition.

The fire, which broke out at 3:00am on Saturday due to a suspected gas leak, severely injured the family members.

The family was living in a house adjacent to Bazar Masjid on Shukrabad 27 Road.

Nipa's mother, Rehana Begum, said the family is from Kacharikandi village in Narsingdi district. The couple had moved to Dhanmondi. They are parents to three children; however, their two older children live with grandparents in the village.",General,General
"Run over by bus, man dies in Gazipur",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/run-over-bus-man-dies-gazipur-3718541,3/10/2024,"A man died after being run over by a bus on the Dhaka-Mymensingh highway in Gazipur's Bhogra area last night.

After the accident, a mob set fire to two buses, including one of Balaka Paribahan which was involved in the accident.

The identity of the deceased could not be confirmed till the filing of this report around 12:30am today.

Quoting witnesses, Basan Police Station OC Jahangir Alam said the accident occurred near the Columbia Garment around 9:00pm yesterday when the man was crossing the road.

He died of his injuries on the way to a hospital, the OC added.

Soon after the accident, a mob of over 100 people set fire to the buses, said Abu Sayeed, a firefighter from Bhogra fire service.

He said that the driver of the bus which ran over the man managed to flee.

Sayeed said they could not fight the blaze as the mob obstructed them from getting to the scene.",Specific,"Specific<sep>Thu Oct 3, 2024 12:00 AM<sep>Oct 2, 2024<sep>9:00pm<sep>1<sep>0<sep>Dhaka-Mymensingh highway in Gazipur's Bhogra area<sep>highway<sep>Yes<sep>bus<sep>Gazipur"
Worker killed after being hit by bus in Gazipur,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/worker-killed-after-being-hit-bus-gazipur-3718316,2/10/2024,"A worker was killed after a bus ran him over on Dhaka-Mymensingh highway in Gazipur's Bhogra area today.

The deceased could not be identified immediately, reports our local correspondent quoting Jahangir Alam, officer-in-charge of Basan Police Station.

The incident occurred around 9:00pm near Columbia Garment. Eyewitnesses and locals said that the man was crossing the road after finishing his shift in a nearby factory when he was hit by a bus travelling from Dhaka.

He sustained severe injuries, particularly to his head, and succumbed to his injuries while being transported to the hospital, the OC said.

In response to the incident, an angry mob of over 100 people set fire to two buses, according to Gazipur Traffic Police inspector Monir Hossain.

Authorities are currently addressing the situation. Bhogra Fire Service Duty Officer Arif Hussain said that that firefighters are on their way to extinguish the blaze.",Specific,"Specific<sep>Wed Oct 2, 2024 10:59 PM<sep>Wed Oct 2, 2024<sep>9:00pm<sep>1<sep>0<sep>Bhogra area, Dhaka-Mymensingh highway<sep>highway<sep>Yes<sep>bus<sep>Gazipur"
Man dies after being hit by train in Joypurhat,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/man-dies-after-being-hit-train-joypurhat-3718011,2/10/2024,"An unidentified man died after being hit by a train in Joypurhat's Sadar upazila this morning, according to the Santahar Government Railway Police (GRP).

Shahed Al Mamun, officer-in-charge of Joypurhat Sadar Police Station, said the incident occurred at Sahapur village when the man, approximately 40 years old, was crossing the railway tracks. He was hit by the Panchagarh-bound intercity train, Panchagarh Express, and died on the spot.

The body has been sent to Joypurhat General Hospital morgue, and Joypurhat police have informed Santahar GRP police about the incident.

This comes just days after another train-related fatality in the district. On September 28, Sukanta Barman, 28, from Ratanpur village in Panchbibi upazila, died after being hit by the Borendra Express intercity train.

According to Habib Rahman, officer-in-charge of Panchbibi Police Station, Sukanta was walking on the railway tracks near Champatoli village, close to Bagjana Railway Station, when the accident occurred. Despite repeated warning sirens, he failed to move away from the tracks and was struck by the train at around 10:00am.",General,General
Two fishers killed by lightning,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/two-fishers-killed-lightning-3717171,2/10/2024,"Two fishermen were killed by lightning in Sadar upazila of Brahmanbaria yesterday morning.

The victims -- Dishu Das, 59, and Rabindra Chandra Das, 37, from Kanchanpur village in the upazila -- were catching fish in the river Titas when the incident took place, said Machihata Union Parishad Chairman Alaminul Haq Pavel.

The UP chairman said it was raining during the incident. Both of them died on the spot after being struck by lightning.",General,General
Miscreants set fire to Lalon Anand Dham,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/miscreants-set-fire-lalon-anand-dham-3716171,1/10/2024,"Miscreants set fire to and vandalised Lalon Anand Dham in Motra village, Bhanga upazila of Faridpur yesterday afternoon.

The attack occurred around 3:00pm, said Md Mokchedur Rahman, officer-in-charge of Bhanga Police Station.

Established in 2013 by Syed Zahid Hasan, an assistant professor of Bangla at Sadarpur Government College, the cultural centre has faced repeated threats.

According to Syed, unidentified attackers had previously damaged CCTV cameras. The compound is enclosed, but the attackers climbed a tree to gain entry. They gathered books and musical instruments from various rooms and set them alight.

Radical groups have long targeted the centre, and on September 12, threats were posted on Facebook, he said.

A case has been filed, the OC said.",General,General
Three killed in oil tanker explosion at Ctg port,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/three-killed-oil-tanker-explosion-ctg-port-3716091,1/10/2024,"Three people were killed in an explosion on a fuel-laden lighterage vessel at the Chattogram port yesterday morning.

The victims were identified as deck cadet Shourabh Kumar Saha, foreman Nurul Islam, and casual staff Md Harun.

The ""Banglar Jyoti"", owned by the national flag carrier Bangladesh Shipping Corporation (BSC), was unloading crude oil when the explosion took place at the forecastle, the forward part, of the ship at around 11:00am.

The explosion, which later resulted in a fire, severely damaged the ship's forecastle.

The vessel berthed at Dolphin Jetty No. 7 at 10:00am after bringing 11,700 tonnes of crude oil from a larger oil tanker, MT Omera Legacy, anchored at the outer anchorage.

Chittagong Port Authority (CPA) Secretary Md Omar Faruk said the crude oil was imported for Eastern Refinery Limited.

""Following the explosion, fireboats from the Bangladesh Navy, Chittagong Port Authority, and Coast Guard and several units from Fire Service and Civil Defence rushed to the spot and managed to bring the fire under control by 12:30pm.""

""As a precautionary measure, all nearby ships were relocated to safe zones, and oil installations were instructed to remain on high alert.""

BSC Managing Director Commodore Mahmudul Malek, at a press conference in the afternoon, said the deck cadet and the two staffers were carrying out routine maintenance at the ship's forecastle when crude oil was being unloaded.

""The maintenance did not include any fire-related work, which could have triggered the explosion.""

Malek said an investigation into the incident would reveal the cause of the explosion and the extent of damage.

The ship was bought by the Bangladesh Shipping Corporation in 1987, when it had a lifespan of 25 years.

As such, the ship's lifecycle had ended in 2012.

Regarding this, Malek said the ship had been operated through intensive regular maintenance since it was contributing economically.

He went on to say that the explosion was not the result of a mechanical failure because it did not come from the engine or generator.

Meanwhile, the BSC formed two probe bodies, one for investigating the incident and the other to properly compensate the victims' families.

The Bangladesh Petroleum Corporation (BPC) also formed a seven-member probe committee led by Managing Director Sharif Hasnat of the Eastern Refinery Limited to investigate the explosion.

BPC Director Anupam Barua said the committee was directed to submit a report within a day.",General,General
"2 killed, three hurt as lorry hits parked rickshaw vans in Dinajpur",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/2-killed-three-hurt-lorry-hits-parked-rickshaw-vans-dinajpur-3715961,30-09-2024,"Two people were killed and three others injured when a lorry crashed into rickshaw vans parked along the roadside in Ghoraghat upazila of Dinajpur this morning.

The deceased were identified as Md Abdul Gaffar, 68, of Pirganj upazila in Rangpur, and Anwar Hossain, 50, of Birampur upazila in Dinajpur. Both were rickshaw van pullers, said Md Asaduzzaman Asad, officer-in-charge of Ghoraghat Police Station.

The accident occurred around 7:30am when the lorry, coming from Dhaka, veered off the road and rammed into at least eight rickshaw vans. Gaffar was killed on the spot, while four others were injured, reports our Dinajpur correspondent quoting police.

Rescuers from the Fire Service and Civil Defence, along with local residents, took the injured to Ghoraghat Upazila Health Complex, where Anwar died of his injuries.

The accident caused traffic to halt for about an hour on the highway, the OC said.

Police have seized the van and detained the driver, Md Siddique, 40, he added.",Specific,"Specific<sep>Mon Sep 30, 2024<sep>Mon Sep 30, 2024<sep>7:30am<sep>2<sep>3<sep>Ghoraghat upazila of Dinajpur<sep>Highway<sep>No<sep>lorry-rickshaw van<sep>Dinajpur"
Lightning strikes kill 6,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/lightning-strikes-kill-6-3715311,30-09-2024,"A total of six people were killed in separate incidents of lightning strikes at five upazilas of Sunamganj and Sylhet districts today (Sunday).

Of them, two died in Sunamganj's Dowarabazar, one each in Sunamganj's Jamalganj and Chhatak, and Sylhet's Sadar, Bishwanath and Companiganj Upazilas.

In Dowarabazar, Jalal Miah, 30, and Jashim Uddin, 18, of Polirchar village died at nearby Dekhar Haor while fishing with other fishermen in the morning. Jahidul Haque, officer-in-charge of Dowarabazar Police Station, confirmed the deaths.

In Jamalganj Upazila, Sharif Miah, 35, of Kalaguja village died while fishing at Pagnar Haor. SM Kamal Hossain, officer-in-charge of Jamalaganj Police Station, confirmed.

In Chhatak Upazila, Sundor Ali, 50, of Mallikpur village died while fishing in a haor near his home. Golam Kibria Hasan, officer-in-charge of Chhatak Police Station, confirmed.

In Bishwanath Upazila, Redwan Ahmed, 21, of Saroil village died while fishing in the pond near his home. Jaman Uddin, sub-inspector of Bishwanath Police Station, confirmed.

In Companiganj Upazila, Mashuk Miah, 52, of Rajnagar village died while farming near his home. Ujayer Al Mahmud Adnan, officer-in-charge of Companiganj Police Station, confirmed.",General,General
Freak road crash: 4 schoolchildren die on their way home,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/freak-road-crash-4-schoolchildren-die-their-way-home-3715076,30-09-2024,"Four children, aged between 11 and 12, were killed and another injured when they were hit by a microbus on the Kushtia-Rajbari regional highway in Kushtia's Khoksha upazila yesterday morning.

The deceased were identified as Mim, 12, Tanzila, 11, Bithi, 12, and Maria, 12, said Kushtia Highway Police Station Sub-Inspector Harunur Rashid.

The accident occurred in the Shimulia area around 7:00am when the children were returning home after taking a lesson on Quran recitation at Shimulia Kuthipara Jame Mosque.

A Kushtia-bound microbus from Dhaka overturned on the road after hitting the children, who were crossing the regional highway, said the SI quoting eyewitnesses and locals.

Mim died on the spot, while Tanzila, Bithi, and Maria were declared dead after they were taken to Khoksha Upazila Health Complex, the SI said, adding that another Fatema was seriously injured and is currently receiving treatment at the hospital.

Following the incident, locals blocked the highway around 10:00am in protest, causing significant traffic congestion.",Specific,"Specific<sep>Mon Sep 30, 2024 12:02 AM<sep>Yesterday morning<sep>7:00am<sep>4<sep>1<sep>Shimulia area on the Kushtia-Rajbari regional highway in Kushtia's Khoksha upazila<sep>Regional highway<sep>Yes<sep>Microbus<sep>Kushtia"
2 children drown in Ctg,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/2-children-drown-ctg-3714826,29-09-2024,"Two infants drowned in separate incidents in Chattogram yesterday.

The deceased are Omar Abdullah Adib, 7, son of Osman Goni, of Banskhali upazila and Mushfique, 8, son of Abdul Hamid, of Dhurong village under Fatikchhari upazila of the district.

Md Ibrahim, a union parishad member of Baharchara union under Banskhali upazila, said Adib went for bathing in the pond next to his residence at 12:30pm.

Locals and family members rescued the victim in an unconscious state and brought him to Banskhali Upazila Health Complex where attending doctors declared him dead, hospital sources said.

Md Tahasin, uncle of another victim Mushfique said he went for bathing in small lake adjacent to his residence at 1:00pm today.

Locals and family members rescued the victim in an unconscious state and brought him to Fatikchari Upazila Health Complex at 2:20pm where attending doctors confirmed his death, hospital and family sources said.",General,General
2 killed as truck hits easy bike in Faridpur,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/2-killed-truck-hits-easy-bike-faridpur-3714481,28-09-2024,"Two people were killed and two others injured in a road accident on the Dhaka-Barishal Highway in Faridpur's Bhanga upazila last night.

The deceased are Harun or Rashid, 42, of Ghangadhardi village under Bhanga upazila, and Kabir Matubbar, 55, of Chumurdi village of the same upazila, reports our Faridpur correspondent quoting police.

The two injured have been admitted to Bangabandhu Sheikh Mujib Medical College Hospital in Faridpur.

Confirming the matter, Abdullah Hel Baki, sub-inspector of Bhanga Highway Police Station, said the accident took place in Purba Sodordi village around 10:30pm last night when a battery-run easy bike was hit by a truck.

He said the truck driver lost control over the wheels and hit the three-wheeler carrying four passengers.

Kabir Matubbar died on the spot, he said, adding that the three injured were sent to Faridpur's Bangabandhu Sheikh Mujib Medical College Hospital. Harun was later referred to Dhaka Medical College Hospital.

He died while receiving treatment at the DMCH around 2:00pm today, the SI added.",Specific,"Specific<sep>Sat Sep 28, 2024<sep>Sat Sep 28, 2024<sep>10:30pm<sep>2<sep>2<sep>Purba Sodordi village<sep>Highway<sep>No<sep>truck-easy bike<sep>Faridpur"
